7.210602890411391686e-01,8.356194169657996662e-01
8.183177273793938999e-01,2.641593690294441465e-01
3.201308869433551196e-01,2.991681604345041157e-01
2.953489968945799404e-02,8.071460809880156573e-01
6.456504112830282471e-01,7.840280606107729033e-01
7.528940997748448938e-01,9.516540395559643928e-01
3.633107657865097817e-01,6.494154622376537844e-01
1.704413465352645485e-01,9.601744129911968795e-01
5.317208263595496476e-04,4.679214313706526740e-01
8.625179635758484231e-01,2.706693203917269752e-01
